Designator,Mid X,Mid Y,Rotation,Layer
C1,1.2,11.6,90.0,top
C5,1.2,4.7,90.0,top
C9,1.2,-3.7,270.0,top
R1,-1.1,13.7,90.0,top
R13,-0.8,-3.7,270.0,top
R2,1.2,8.1,90.0,top
R9,-1.1,10.2,270.0,top
U1,0.2,0.7,90.0,top
