Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.1,-0.4,270.0,top
C2,-1.1,6.775,90.0,top
R1,-1.225,-8.425,270.0,top
R2,-1.225,-4.975,90.0,top
R4,0.75,7.15,90.0,top
R6,1.1,12.5,90.0,top
R7,-0.9,12.5,270.0,top
U1,-0.4,3.2,270.0,top
