Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,100nF 50V X7R,C14663
"R1, R4, R7",0603,3,100k,C25803
"R2, R6",0603,2,1k,C21190
U1,SOT-363_SC-70-6,1,SN74LVC1T45DCK,C9382
