Designator,Mid X,Mid Y,Rotation,Layer
BOARD_5-U1,35.11,-21.8,270.0,top
BOARD_6-C1,41.71,-13.4,90.0,top
BOARD_6-C5,41.71,-20.3,90.0,top
BOARD_6-C9,41.71,-28.7,270.0,top
BOARD_6-R1,39.41,-11.3,90.0,top
BOARD_6-R13,39.71,-28.7,270.0,top
BOARD_6-R2,41.71,-16.9,90.0,top
BOARD_6-R9,39.41,-14.8,270.0,top
BOARD_6-U1,40.71,-24.3,90.0,top
BOARD_7-Q1,45.66,-13.1625,270.0,top
BOARD_7-R1,46.11,-19.7,0.0,top
BOARD_7-R2,44.71,-17.1,90.0,top
BOARD_7-U1,45.51,-27.5,90.0,top
BOARD_8-C1,49.41,-25.4,270.0,top
BOARD_8-C2,49.41,-18.225,90.0,top
BOARD_8-R1,49.285,-33.425,270.0,top
BOARD_8-R2,49.285,-29.975,90.0,top
BOARD_8-R4,51.26,-17.85,90.0,top
BOARD_8-R6,51.61,-12.5,90.0,top
BOARD_8-R7,49.61,-12.5,270.0,top
BOARD_8-U1,50.11,-21.8,270.0,top
BOARD_9-C1,54.41,-25.4,270.0,top
BOARD_9-C2,54.41,-18.225,90.0,top
BOARD_9-R1,54.285,-33.425,270.0,top
BOARD_9-R2,54.285,-29.975,90.0,top
BOARD_9-R5,55.21,-15.2,180.0,top
BOARD_9-R6,56.61,-12.5,90.0,top
BOARD_9-U1,55.11,-21.8,270.0,top
KIKIT_FID_B_1,4.0,-4.0,0.0,bottom
KIKIT_FID_B_2,67.0,-4.0,0.0,bottom
KIKIT_FID_B_3,4.0,-85.0,0.0,bottom
KIKIT_FID_B_4,67.0,-85.0,0.0,bottom
KIKIT_FID_T_1,4.0,-4.0,0.0,top
KIKIT_FID_T_2,67.0,-4.0,0.0,top
KIKIT_FID_T_3,4.0,-85.0,0.0,top
KIKIT_FID_T_4,67.0,-85.0,0.0,top
