Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.1,-0.4,270.0,top
C2,-1.1,6.775,90.0,top
R1,-1.225,-8.425,270.0,top
R2,-1.225,-4.975,90.0,top
R5,-0.3,9.8,180.0,top
R6,1.1,12.5,90.0,top
U1,-0.4,3.2,270.0,top
