Designator,Mid X,Mid Y,Rotation,Layer
C1,1.7,15.1,0.0,top
C2,-1.7,-5.5,270.0,top
D1,-1.79,-14.04,90.0,top
R1,-0.2,12.8,180.0,top
R2,-1.5,9.2,270.0,top
R3,-1.89,16.385,90.0,top
R4,-1.89,19.985,270.0,top
R5,1.2,-5.5,270.0,top
R6,1.2,-9.3,90.0,top
R7,-1.79,-10.54,270.0,top
R8,3.4,8.0,270.0,top
R9,1.4,8.0,90.0,top
U2,0.175,1.46,270.0,top
